Sample,Rep,lLR,Eff,Pr,St,NC,TC,TotDNA,amtDNA,C1,C2,C3,C4,D1,D2,D3,D4,CSF1PO,D13S317,D16S539,D18S51,D19S433,D21S11,D2S1338,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,VWA
680,5,1.85764597018153,0.113,EFM,Present,3,E,50,20,D,E,A,NA,2,2,1,NA,-0.499368616368158,0.625426586770483,0.375761960614668,-0.397208554575706,-0.959286884360049,0.208136178742221,0.316900556031615,0.522302664180804,0.186069553544726,1.00970902157028,0.00934533146978631,-0.334578225319932,0.381540685672099,0.194417097150152,0.218478615058544
680,5,1.8494136579084,0.113,EFM,Absent,3,E,50,20,D,E,A,NA,2,2,1,NA,-0.499096895625261,0.619758744918784,0.378234882889133,-0.397311423844358,-0.959884951635273,0.206032337003121,0.318577649596242,0.523434107241703,0.183810705935899,1.0097754172971,0.00839049353436207,-0.33621825143942,0.379692249165686,0.194957528991649,0.21926106387904
680,5,1.66,0.101,likeLTD,Present,3,E,50,20,D,E,A,NA,2,2,1,NA,-0.426,0.812,0.318,-0.416,-0.935,0.199,0.239,0.412,0.214,0.833,0.0379,-0.286,0.416,0.114,0.13
680,5,1.69,0.097,likeLTD,Present,3,A,50,10,D,E,A,NA,2,2,1,NA,0.262,0.447,0.343,-0.236,-0.0807,-0.0102,-0.00848,0.316,0.0721,0.277,0.0189,0.174,0.329,-0.362,0.153
680,5,1.67,0.0958,likeLTD,Absent,3,A,50,10,D,E,A,NA,2,2,1,NA,0.282,0.459,0.338,-0.253,-0.0721,-0.00463,-0.0251,0.261,0.143,0.268,0.02,0.175,0.285,-0.364,0.16
680,5,1.44160297359068,0.0827,EFM,Absent,3,A,50,10,D,E,A,NA,2,2,1,NA,0.341238696820284,0.472385510023888,0.380322366132284,-0.367031501460409,-0.129220575366645,-0.0102576187706188,-0.215312801872401,0.235952640417244,0.199583692384696,0.326973396651177,0.0186118096124234,0.130507122793249,0.322358000061968,-0.385287103473507,0.120779339637051
680,5,1.43681113762435,0.0824,EFM,Present,3,A,50,10,D,E,A,NA,2,2,1,NA,0.348030217318059,0.461185336547841,0.383780679003169,-0.370593773736149,-0.132084825112928,-0.00751986594842303,-0.228704250029753,0.237672419406861,0.200311027040247,0.331806535465428,0.0227241027364246,0.131400810451317,0.329592531891984,-0.389907916130392,0.119118108720661
680,5,7.08,0.371,likeLTD,Present,3,D,50,20,D,E,A,NA,2,2,1,NA,0.538,1.19,0.695,0.707,1.13,-0.371,1.18,-1.28,0.499,0.614,0.838,1.1,0.527,-0.862,0.577
680,5,6.3674963880244,0.333,EFM,Absent,3,D,50,20,D,E,A,NA,2,2,1,NA,0.564463112220209,1.22813141698845,0.66956056412679,0.69813337975238,1.08815629002992,-0.366558816536384,1.2028138309714,-1.2111114392072,0.364030830243974,0.128328388813204,0.807983403403333,0.982344797390134,0.556670800479121,-0.829755484014896,0.484305313363959
680,5,7.06,0.37,likeLTD,Absent,3,D,50,20,D,E,A,NA,2,2,1,NA,0.565,1.26,0.694,0.672,1.08,-0.318,1.14,-1.23,0.46,0.621,0.854,1.04,0.562,-0.851,0.521
680,5,6.35051400688961,0.332,EFM,Present,3,D,50,20,D,E,A,NA,2,2,1,NA,0.567992730259779,1.22302067159222,0.671097563736569,0.694827108390848,1.08379300224247,-0.366470164166368,1.19954226635555,-1.21144536824971,0.364492643105846,0.12723021060797,0.808019214260733,0.979039249656471,0.561375124790799,-0.832353904193332,0.480353658499763
681,1,-0.167,-0.0102,likeLTD,Present,3,E,50,5,C,D,E,NA,6,3,1,NA,-0.0509,0.0968,0.0444,0.0011,-0.0249,-0.00276,-0.0196,-0.0564,0.0269,-0.0676,0.0322,-0.063,-0.145,0.0289,0.0326
681,1,-0.0006473888577824,-3.95e-5,EFM,Absent,3,E,50,5,C,D,E,NA,6,3,1,NA,-7.3724759199109e-4,-8.5196141114047e-4,-6.3251474656476e-4,-3.4960962058595e-4,6.6790016705897e-4,0.0020047677068523,-0.00184418235860348,9.683541714088e-5,4.9834923006174e-4,3.9270018027705e-4,1.9857139736326e-4,4.1691964410714e-4,2.7929733815663e-4,-6.08622055265e-6,-7.811279893643e-4
681,1,-0.00385167488391568,-2.35e-4,EFM,Present,3,E,50,5,C,D,E,NA,6,3,1,NA,0.0069270791934636,-0.00425390953608686,-0.00281708994740734,-6.6039648722961e-4,-1.0361687179619e-4,0.00256999138527741,-0.00360507713277942,-0.00198296855619531,6.2980848327583e-4,2.444295789262e-4,0.00341077793258188,-0.00118339602233325,-0.00176000931748064,-2.3995198500995e-4,-0.00102734560112434
681,1,-0.0388,-0.00237,likeLTD,Absent,3,E,50,5,C,D,E,NA,6,3,1,NA,0.016,0.107,0.0751,0.0322,-0.0404,-0.0499,-0.0326,-0.0764,0.00304,-0.0652,0.119,-0.0933,-0.102,0.0258,0.0423
681,1,6.18,0.352,likeLTD,Present,3,C,50,30,C,D,E,NA,6,3,1,NA,0.133,1.03,0.552,0.692,-0.0959,0.863,1.31,0.419,0.133,-0.538,0.375,0.681,-0.148,0.387,0.39
681,1,5.88,0.308,likeLTD,Present,3,D,50,15,C,D,E,NA,6,3,1,NA,0.247,1.24,0.745,-0.29,1.53,-0.742,0.316,0.745,0.296,0.932,0.61,-0.606,0.579,-0.29,0.573
681,1,6.03,0.316,likeLTD,Absent,3,D,50,15,C,D,E,NA,6,3,1,NA,0.268,1.19,0.74,-0.181,1.56,-0.675,0.36,0.753,0.328,0.759,0.584,-0.537,0.488,-0.245,0.646
681,1,6.63,0.378,likeLTD,Absent,3,C,50,30,C,D,E,NA,6,3,1,NA,0.278,1.01,0.496,0.738,-0.0438,0.876,1.27,0.38,0.0998,-0.402,0.623,0.687,-0.123,0.413,NA
681,1,4.41826522295172,0.231,EFM,Present,3,D,50,15,C,D,E,NA,6,3,1,NA,0.27918701660721,1.21031330312987,0.714736467072574,-0.386499369527301,1.16998101608599,-0.177248150518804,0.412015146461924,0.602664861993554,0.217117018286965,-0.19816885289052,0.335239619439854,-0.293165279521616,0.371752919897046,-0.354594653147401,0.514934159582377
681,1,8.77053735002365,0.499,EFM,Present,3,C,50,30,C,D,E,NA,6,3,1,NA,0.298758015615152,1.01452983234472,0.616390651022703,1.01592395469403,-0.262155100091679,1.17084344922091,1.49356900066929,0.491733193632619,0.170492570342135,0.590506947883163,0.567822166898969,0.874161922823345,0.211388199854417,0.363843885043598,0.152728660070276
681,1,4.69348052304908,0.246,EFM,Absent,3,D,50,15,C,D,E,NA,6,3,1,NA,0.325911176654201,1.18467788862652,0.667016902146969,-0.413442491847983,1.22022677269754,-0.0817331063824547,0.377903498098038,0.630467770838895,0.241163510257018,-0.16737069545766,0.45350542867292,-0.231987303093797,0.333040211955262,-0.340140371023596,0.494241330907205
681,1,8.97646501997499,0.511,EFM,Absent,3,C,50,30,C,D,E,NA,6,3,1,NA,0.431307136092646,0.964926584470072,0.545199552051076,0.941418164486851,-0.184777370291172,1.26678530448457,1.47922666376579,0.491452177775962,0.207176583537262,0.614369564518901,0.652272500528942,0.899931386620329,0.17443716056802,0.355042443005729,0.137697168360014
682,2,5.6,0.293,likeLTD,Absent,3,D,50,15,C,D,E,NA,6,3,1,NA,0.0413,1.04,-0.605,0.057,-0.574,0.609,0.984,0.685,0.424,1.04,0.536,-0.375,0.447,0.56,0.724
682,2,0.231387373593488,0.0141,EFM,Absent,3,E,50,5,C,D,E,NA,6,3,1,NA,0.049909153771762,0.173529198381442,-0.110937423553351,0.32622409567547,-0.109713339998086,-0.0275680440843752,0.00277020067234487,-0.00850164750051293,0.0436652536496287,0.0260181677840981,0.105797667751044,-0.252168011243553,0.0700553042969195,-0.0180873086130041,-0.0396058933963408
682,2,0.231286230598705,0.0141,EFM,Present,3,E,50,5,C,D,E,NA,6,3,1,NA,0.0504737121746329,0.172511840605397,-0.111039938328938,0.326327517818561,-0.109516739853589,-0.0270590182989781,0.00280295437642902,-0.00828729668448021,0.0441197941188457,0.0264747644971772,0.104843004414875,-0.252058258721134,0.0688231020636164,-0.0178242516203941,-0.039304955963316
682,2,0.137,0.00836,likeLTD,Present,3,E,50,5,C,D,E,NA,6,3,1,NA,0.0554,0.0672,-0.0808,0.127,-0.0309,-0.0279,-0.0495,0.0209,0.00392,0.0701,0.0811,-0.15,0.0489,-0.0112,0.014
682,2,0.2,0.0122,likeLTD,Absent,3,E,50,5,C,D,E,NA,6,3,1,NA,0.061,-0.0163,-0.138,0.308,0.00761,-0.0329,-0.137,0.0734,-0.0828,0.138,0.146,-0.155,0.0126,-0.0356,0.0515
682,2,5.59,0.293,likeLTD,Present,3,D,50,15,C,D,E,NA,6,3,1,NA,0.064,1.01,-0.586,0.0445,-0.471,0.621,1.02,0.631,0.505,0.969,0.471,-0.345,0.34,0.567,0.752
682,2,5.66442809706212,0.297,EFM,Present,3,D,50,15,C,D,E,NA,6,3,1,NA,0.173853716540313,1.03985973813383,-0.463522140059931,0.177188234466726,-0.19969105429799,0.627664558504791,1.20087169504111,0.495024095764151,0.249442420399972,0.574139328618886,0.429128503787513,-0.203764023934366,0.259814024311645,0.651692666439424,0.65272633334605
682,2,5.67322890923938,0.297,EFM,Absent,3,D,50,15,C,D,E,NA,6,3,1,NA,0.174212238781512,1.04173938411516,-0.46432632636973,0.180563603638444,-0.199301196025589,0.628214863779836,1.20213063433008,0.496034849048836,0.249984333540505,0.575310137222582,0.427795416842563,-0.203863235981555,0.259654923028377,0.652095883622653,0.65298339966571
682,2,7.06,0.402,likeLTD,Absent,3,C,50,30,C,D,E,NA,6,3,1,NA,0.242,0.812,0.778,-0.494,0.667,0.969,1.24,0.0557,-0.104,0.128,0.658,0.973,0.565,0.0618,NA
682,2,7.08,0.403,likeLTD,Present,3,C,50,30,C,D,E,NA,6,3,1,NA,0.259,0.77,0.728,-0.375,0.644,0.987,1.16,0.12,-0.125,0.208,0.667,0.973,0.48,0.0603,0.524
682,2,7.6538334940571,0.436,EFM,Absent,3,C,50,30,C,D,E,NA,6,3,1,NA,0.382298598455835,0.816296326699386,0.73886048675696,-0.214034342071547,0.707583211627559,1.05319863031634,1.32317329639073,-0.0638922195466607,-0.108498002240562,0.305531092496932,0.66595402751587,0.97596090424303,0.432443521443638,0.129200306802548,0.509757655167033
682,2,7.65762946587274,0.436,EFM,Present,3,C,50,30,C,D,E,NA,6,3,1,NA,0.38236467730408,0.814628236356575,0.73953034860645706,-0.219215706864406,0.708171035727412,1.0545455788794,1.32465504933227,-0.0599250048687948,-0.108249614694541,0.305856028142359,0.666305693645194,0.976827332257046,0.430899748666244,0.130370491568149,0.510865571815299
683,3,4.36887401742868,0.229,EFM,Present,3,D,50,15,C,D,E,NA,6,3,1,NA,-0.434022367670502,2.20953902983033,-0.543539535739096,0.897108899101766,-0.304506942961345,0.621075977722917,-0.406160466231348,-0.782484787880052,0.119963995688273,0.51342334785032,0.428777147906326,-0.337876622885634,1.04559000898756,0.922155551244876,0.419830782464289
683,3,4.41,0.231,likeLTD,Present,3,D,50,15,C,D,E,NA,6,3,1,NA,-0.382,1.9,-0.67,0.703,-0.336,0.816,-0.228,-1.07,0.261,1.26,0.439,-0.461,0.84,0.847,0.495
