Sample ID,Ship ID,Sed Depth,Site ,Site Type,AOM ,CH4 ,Sulfide,SO4,NO3,NO2,NH4 ,POC ,DOC 
100,1,6-9 cm,M,shelf,0,5.37,0.5,29.29,3.84,0.3,6.58,1074117,448
101,1,9-15 cm,M,shelf,0.68,4.05,0.69,29.99,5.83,0.3,9.04,1093188,493
102,1,15-20,M,shelf,7.37,3.81,0.03,29.86,8.01,1.52,16.27,876794,730
103,1,20-25,M,shelf,3.37,4.52,1.58,29.6,5.16,0.17,16.01,1177942,509
104,1,25-35,M,shelf,0,5.01,0.12,29.57,2.95,0.12,20.14,1171433,497
105,1,35-50,M,shelf,,5.12,2.14,30.23,8.34,0.73,23.62,1126415,540
106,1,0-3,N,shelf,1.98,8.66,0.08,29.71,28.13,0.49,8.69,1287710,620
107,1,3-6 cm,N,shelf,0,8.71,0.08,29.48,25.72,0.08,8.43,543652,444
108,1,6-9 cm,N,shelf,0.02,16.08,0.22,29.6,19.05,0.25,9.21,597866,463
109,1,9-15 cm,N,shelf,0,16.19,0.26,30.13,13.52,0.6,12.84,913797,760
110,1,15-20,N,shelf,0,13.62,0.03,29.49,5.16,0.14,12.71,1182382,586
111,1,20-25,N,shelf,0,12.07,0.22,29.19,6.95,0.03,14.53,1236323,489
112,1,25-35,N,shelf,0,13,1.44,30.09,9.58,0.1,19.72,1219958,660
113,1,35-43,N,shelf,,13.03,0.36,30.03,5.21,0.17,23.09,1196126,585
114,1,0-3,O,shelf,0,1.44,0.08,28.84,27.08,0.38,9.47,443082,480
115,1,3-6 cm,O,shelf,0,1.62,0.12,29.42,38.96,0.17,9.08,448955,418
116,1,6-9 cm,O,shelf,0,1.66,0.03,29.35,32.87,0.25,7.39,416455,534
117,1,9-15 cm,O,shelf,0,2,0.08,29.56,29.29,0.23,7.65,355987,439
118,1,15-20,O,shelf,0,2.55,0.64,29.08,22.16,0.49,8.43,684880,509
119,1,20-25,O,shelf,,2.78,2.05,29.07,10.21,0.25,8.69,401293,569
120,1,25-28,O,shelf,,0.12,,29.96,,,,690091,
121,1,0-3,P,shelf,0,2.13,0.22,30.06,35.48,0.32,8.69,439182,760
122,1,3-6 cm,P,shelf,0,2.98,0.12,29.85,32.5,0.38,8.82,381635,644
123,1,6-9 cm,P,shelf,0,3.19,0.12,29.46,26.37,0.17,6.49,363292,365
124,1,9-15 cm,P,shelf,0,2.8,1.48,29.59,23.45,0.25,6.62,354463,277
125,1,15-20,P,shelf,0,3.04,7.27,29.76,15.08,1.25,12.84,684702,716
126,1,20-25,P,shelf,0,3.34,0.26,29.72,4.91,0.3,6.49,1018958,327
127,1,25-35,P,shelf,0,6.35,1.34,29.42,2.13,0.14,5.71,1056712,429
128,1,35-50,P,shelf,,6.55,0.17,29.08,2.77,0.23,10.77,1073678,442
129,2,0-3,A,oil seep,0.01,1870.75,0.21,30.14,41.23,0.19,6.1,680147,728
130,2,3-6 cm,A,oil seep,0,2904.14,0.12,30.04,39.05,0.06,0,622791,632
131,2,6-9 cm,A,oil seep,0,3290.93,0.21,30.21,33.41,0.23,4.98,526017,751
132,2,9-15 cm,A,oil seep,0,2274.19,0.3,29.73,24.56,0.54,4.14,514261,676
133,2,15-20,A,oil seep,0,426.83,0.16,29.83,14,0.49,15.08,545780,661
134,2,20-25,A,oil seep,0,1137.41,1.51,29.77,9.3,0.6,12.84,911563,842
135,2,25-35,A,oil seep,0,5246.68,0.35,29.03,11.71,0.01,19.54,1031378,678
136,2,35-50,A,oil seep,,5556.86,0.35,28.9,14.44,0.38,26.63,6131922,770
137,2,Oily Layer,A,oil seep,6.62,1380.19,0.3,29.97,25.34,0.67,9.03,3591927,481
138,2,0-3,A,oil seep,19.48,1475.27,0.07,29.98,12.84,2.61,13.64,5333089,630
139,2,3-6 cm,A,oil seep,0,2285.72,0.35,29.41,12.52,0.47,46.32,3423753,954
140,2,6-9 cm,A,oil seep,0,2190.97,0.48,28.48,8.8,0.47,118.19,2171998,642
141,2,9-15 cm,A,oil seep,0,3461.99,4.73,28.38,4.64,0.17,141.64,2337756,610
142,2,15-20,A,oil seep,0,5890.94,0.09,29.25,6.18,0.17,91.67,2441333,788
143,2,20-25,A,oil seep,0,5840.95,60.07,27.25,5.43,0.3,121.65,1118796,585
144,2,25-35,A,oil seep,0,6364.09,80.68,26.79,2.36,0.45,99.74,851194,758
145,2,35-50,A,oil seep,,8066.74,116.49,25.52,5.12,0,93.59,766323,648
146,2,0-3,C,oil seep,0.19,1066.78,0.16,30,29.63,0.23,0,707955,425
147,2,3-6 cm,C,oil seep,0.06,1249.14,0.07,30.32,20.59,1.02,0,663432,359
148,2,6-9 cm,C,oil seep,0,1146.59,0.95,29.46,8.66,1.15,0,664369,318
149,2,9-15 cm,C,oil seep,0,1184.92,0.21,29.66,1.96,0.49,0,1247290,336
